Distributor_code,Store_code,lattitude,longitude
41A7,20723,12.9243172,80.1475912
41A7,P2333,12.9451773,80.1380682
41A7,25146,12.9424419,80.1566389
41A7,25190,12.93516833,80.15121333
41A7,25459,13.9354585,81.1474761
41A7,25832,12.9392478,80.1386445
41A7,26341,13.92981166,81.14167
41A7,7P722,13.9393461,81.1405899
41A7,27919,13.9369055,81.141996
41A7,12543,12.91961728,80.1374729
41A7,27927,12.93781153,80.1345749
41A7,28567,12.9417225,80.1522069
41A7,29016,12.94336825,80.15406412
41A7,34279,12.94166402,80.13799386
41A7,47187,13.93695926,81.15236616
41A7,49191,13.9395622,81.1477807
41A7,49316,13.93616002,81.16255275
41A7,49521,13.9373807,81.1392346
41A7,50323,12.9390499,80.1409356
41A7,50504,13.93315666,81.133675
41A7,12553,12.92032833,80.15774833
41A7,50677,13.9404082,81.1502385
41A7,P5650,12.9239153,80.1475266
41A7,T0030,13.9310391,81.1483688
41A7,P5150,13.941208,81.1427058
41A7,14434,13.9337567,81.13987779
41A7,A0015,12.9422372,80.1417611
41A7,11064,12.94866259,80.12606007
41A7,11076,13.94644526,81.13823396
41A7,12578,12.9219878,80.1433705
41A7,11092,12.9417242,80.1463197
41A7,11099,13.9282297,81.1394754
41A7,11419,13.9281605,81.1394132
41A7,11567,13.9420322,81.1512943
41A7,11664,12.9286478,80.1442757
41A7,11669,13.9249677,81.1431233
41A7,11670,12.92981666,80.13219166
41A7,11679,13.94626333,81.13861
41A7,11690,12.92927742,80.14805316
41A7,T0034,12.9385766,80.1404845
41A7,12598,12.91758673,80.14125266
41A7,11781,13.9244365,81.1475973
41A7,11791,12.9375735,80.1414024
41A7,11846,13.92929,81.13530333
41A7,11894,13.92039,81.139755
41A7,11921,12.94223785,80.1417768
41A7,11934,12.9227443,80.1348058
41A7,11944,13.940277,81.1474598
41A7,12142,13.93771952,81.156065
41A7,12155,13.93656801,81.13867245
41A7,12211,13.9245328,81.1477313
41A7,12624,12.91841407,80.11209802
41A7,11228,12.9409916,80.142621
41A7,11229,12.9289328,80.1394557
41A7,12311,12.94068753,80.15334248
41A7,12367,13.93563425,81.1449418
41A7,11239,13.93583273,81.16373872
41A7,12493,12.93927784,80.15317586
41A7,12538,12.92158418,80.1354287
41A7,12622,13.9389441,81.1554346
41A7,11265,13.92253666,81.13747833
41A7,12685,12.93330941,80.12995015
41A7,12630,12.91838333,80.17159166
41A7,12696,13.9278304,81.1442243
41A7,12993,12.9356098,80.1636613
41A7,12998,13.9430828,81.1499907
41A7,13010,13.92799166,81.13590666
41A7,13015,13.9283722,81.1351
41A7,13035,12.92608333,80.13777
41A7,13040,12.92778499,80.138275
41A7,13045,13.92913794,81.1380217
41A7,13055,12.9267454,80.1368507
41A7,12635,12.90998644,80.14944869
41A7,13060,13.9275914,81.1363762
41A7,13065,13.9281479,81.13630992
41A7,13085,12.93609023,80.15181899
41A7,13090,13.939475,81.1538
41A7,13095,13.93531675,81.14752125
41A7,13100,12.92596553,80.14828467
41A7,13128,13.9339227,81.1473138
41A7,13133,12.9321086,80.148634
41A7,13134,12.94153345,80.14461991
41A7,13241,12.93318,80.14825166
41A7,12650,12.9113525,80.1790757
41A7,13247,12.92877338,80.13579962
41A7,13263,12.93629833,80.16111666
41A7,13269,13.92533055,81.13826148
41A7,13302,12.9255394,80.1311553
41A7,13312,13.92799166,81.13157166
41A7,13328,13.93652449,81.16032056
41A7,13363,12.93917528,80.15514509
41A7,13371,13.93703436,81.14380991
41A7,13430,12.94329666,80.14055166
41A7,12655,12.91822166,80.1726
41A7,13490,12.93045166,80.13510666
41A7,13495,12.93321833,80.13007833
41A7,13505,12.94232833,80.14150166
41A7,13511,13.9392084,81.1385225
41A7,13571,13.92867166,81.136355
41A7,13641,12.93616,80.141145
41A7,11093,13.912505,81.14073333
41A7,13652,13.93421499,81.14716
41A7,13659,12.93591,80.15171166
41A7,12660,13.917875,81.17089
41A7,13665,12.9394834,80.1524304
41A7,13699,13.93024712,81.14603819
41A7,13722,12.92592415,80.12836644
41A7,13727,12.94109406,80.14912431
41A7,13774,13.92848416,81.13266307
41A7,13778,12.9359424,80.1517458
41A7,13781,12.92331833,80.14786
41A7,13788,13.93457333,81.1576
41A7,13802,12.94212991,80.15126741
41A7,13834,12.92563205,80.12631606
41A7,12665,13.9186872,81.1711433
41A7,13856,12.92428333,80.13148833
41A7,13935,12.9392981,80.1530336
41A7,13940,12.93487333,80.15754666
